#Path;Duration;#Points;#Scroll;#ScrollUp;#ScrollDown;#Clicks;#Movement;#Silents;Mean Silent;Std. Deviation Silent;Min Silent;Max Silent;Variance Silent;Skewness Silent;Kurtosis Silent;Flight Click beginning;Flight Click ending;Length Path;Weight Path;Direction Path;Mean Angle Incl.;Std. Deviation Angle Incl.;Min Angle Incl.;Max Angle Incl.;Variance Angle Incl.;Skewness Angle Incl.;Kurtosis Angle Incl.;Mode Angle Incl.;Mean Movement Speed;Std. Deviation Movement Speed;Min Movement Speed;Max Movement Speed.;Variance Movement Speed;Skewness Movement Speed;Kurtosis Movement Speed;Mode Movement Speed;Mean ScrollUp Speed;Std. Deviation ScrollUp Speed;Min ScrollUp Speed;Max ScrollUp Speed.;Variance ScrollUp Speed;Skewness ScrollUp Speed;Kurtosis ScrollUp Speed;Mode ScrollUp Speed;Mean ScrollDown Speed;Std. Deviation ScrollDown Speed;Min ScrollDown Speed;Max ScrollDown Speed.;Variance ScrollDown Speed;Skewness ScrollDown Speed;Kurtosis ScrollDown Speed;Mode ScrollDown Speed;UserID
1;2360;36;0;0;0;2;34;0;0;0;0;0;0;0;0;187;159;892.6504954;1275.727689;1;65.34098798;44.11994149;19.72227776;174.2894069;1946.569237;34.13169812;-0.628546346;41.18592517;2.769542434;2.827947709;0.007903454;9.152896274;7.997288243;2.112563596;-0.948545075;0.007903454;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;user-1
2;328;2;0;0;0;2;0;0;0;0;0;0;0;0;0;159;167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;user-1
3;4224;10;0;0;0;2;8;0;0;0;0;0;0;0;0;167;175;218.5981931;5.995304952;1;94.44311001;32.41128796;5.710593137;122.503989;1050.491587;-62.68770321;3.317479391;122.503989;0.218931876;0.167934353;0.006338122;0.421637021;0.028201947;-0.025741804;-1.824169985;0.074355608;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;user-1
4;14536;35;0;0;0;2;33;1;10920;0;10920;10920;0;0;0;175;2855;903.1432236;-22.97257486;-1;36.83445632;53.80219945;0;172.9834983;2894.676666;95.38035033;1.634741215;172.9834983;0.424874975;0.342465589;0;1.091515575;0.11728268;0.068086021;-1.306544909;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;user-1
5;29992;51;0;0;0;1;50;1;26784;0;26784;26784;0;0;0;2855;0;807.8637642;-94.04743766;1;61.23469776;73.43789931;0;177.1375948;5393.125056;48.2136056;-1.42227741;3.17983012;1.435742309;1.033784888;0;3.676360292;1.068711196;0.521957838;-0.576531644;0.068286956;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;user-1
6;27967;116;0;0;0;0;116;1;25087;0;25087;25087;0;0;0;0;0;1965.887105;70.12335033;-1;44.33735814;35.86466612;0;178.5679038;1286.274276;84.76844603;5.95102893;21.80140949;1.659937558;0.856569486;0;4.025310547;0.733711284;0.268883634;-0.538747218;1.19670329;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;user-1
7;752;19;0;0;0;1;18;0;0;0;0;0;0;0;0;0;180;345.3536757;-13.613575;-1;162.7760984;21.6041905;98.13010235;174.8055711;466.7410471;-49.10418021;3.999173666;169.508523;2.166368857;1.164211748;0.016368213;3.922722919;1.355388994;-0.512999116;-0.770018679;3.051006715;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;user-1
8;7440;123;0;0;0;2;121;1;2472;0;2472;2472;0;0;0;180;1136;1557.276221;135.3609956;-1;73.8729062;52.91074901;0;174.8055711;2799.547361;11.88540641;-1.270946314;14.03624347;0.783515619;0.66364511;0.004223425;2.928843628;0.440424831;0.655102813;0.390679396;0.030316953;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;user-1
9;15124;2;0;0;0;1;0;1;15124;0;15124;15124;0;0;0;1136;1136;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;user-1
10;32300;70;0;0;0;1;69;1;30588;0;30588;30588;0;0;0;1136;191;1223.600715;-443.1630245;1;121.0287687;57.4957104;0;178.1523897;3305.756715;-46.07718203;-0.956743219;90;1.790064016;1.470788277;0;5.857142857;2.163218156;1.714747497;0.535382036;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;user-1
